OrderID,DeliveryDate,ShippingStatus,ShippingAddress,,,,,
1,2/20/15,delivered,"4013 Grand Extension, Redbug, NV, 89040-5737, US, (775) 193-6342",,,,,
2,2/21/15,delivered,"6802 Burning Downs, Hockessin, MI, 49679-0699, US, (734) 395-1177",,,,,
3,2/25/15,delivered,"4002 Blue Rabbit Ramp, Shoemaker, MO, 65880-3907, US, (660) 670-4515",,,,,
4,2/26/15,shipping,"3280 Emerald Shadow Boulevard, Two Mile, NW, X8Y-3F7, CA, (867) 163-9968",,,,,
5,2/26/15,shipping,"4833 Middle View, Communipaw, NW, X1J-3I3, CA, (867) 885-4379",,,,,
6,2/27/15,ready for ship,"9884 Cinder Mountain Island, Grand Detour, WA, 98269-0114, US, (253) 363-4339",,,,,
7,2/28/15,ready for ship,"6107 Broad Trail, Frog Hop, MO, 65182-8941, US, (314) 434-6461",,,,,
8,2/28/15,ready for ship,"7394 Cotton Blossom Landing, Do Stop, MT, 59908-6123, US, (406) 082-0964",,,,,
9,3/1/15,packing,"2866 Hazy Grove, Churchbridge, NW, X8Z-9F5, CA, (867) 730-9125",,,,,
1,3/2/15,delivered,"4013 Grand Extension, Redbug, NV, 89040-5737, US, (775) 193-6342",,,,,
